id,chapter,source,source_start_line,source_end_line,quote,verification
ulysses-12-Q01,research/ulysses/episode-12.md,sources/ulysses-12.txt,1888,1889,A nation? says Bloom. A nation is the same people living in the same place.,exact after whitespace normalization
ulysses-12-Q02,research/ulysses/episode-12.md,sources/ulysses-12.txt,1903,1903,"Ireland, says Bloom. I was born here. Ireland.",exact after whitespace normalization
ulysses-12-Q03,research/ulysses/episode-12.md,sources/ulysses-12.txt,1974,1974,"Love, says Bloom. I mean the opposite of hatred.",exact after whitespace normalization
ulysses-13-Q01,research/ulysses/episode-13.md,sources/ulysses-13.txt,4,5,The summer evening had begun to fold the world in its mysterious embrace.,exact after whitespace normalization
ulysses-13-Q02,research/ulysses/episode-13.md,sources/ulysses-13.txt,230,230,Gerty MacDowell yearns in vain.,exact after whitespace normalization
ulysses-13-Q03,research/ulysses/episode-13.md,sources/ulysses-13.txt,869,870,"Leopold Bloom (for it is he) stands silent, with bowed head before those young guileless eyes.",exact after whitespace normalization
ulysses-14-Q01,research/ulysses/episode-14.md,sources/ulysses-14.txt,4,4,Deshil Holles Eamus. Deshil Holles Eamus. Deshil Holles Eamus.,exact after whitespace normalization
ulysses-14-Q02,research/ulysses/episode-14.md,sources/ulysses-14.txt,6,6,"Send us bright one, light one, Horhorn, quickening and wombfruit.",exact after whitespace normalization
ulysses-14-Q03,research/ulysses/episode-14.md,sources/ulysses-14.txt,1359,1360,we are all born in the same way but we all die in different ways.,exact after whitespace normalization
ulysses-15-Q01,research/ulysses/episode-15.md,sources/ulysses-15.txt,2489,2490,"In the beginning was the word, in the end the world without end. Blessed be the eight beatitudes.",exact after whitespace normalization
ulysses-15-Q02,research/ulysses/episode-15.md,sources/ulysses-15.txt,4682,4683,I pray for you in my other world. Get Dilly to make you that boiled rice every night after your brainwork.,exact after whitespace normalization
ulysses-15-Q03,research/ulysses/episode-15.md,sources/ulysses-15.txt,4724,4724,Nothung!,exact after whitespace normalization
ulysses-16-Q01,research/ulysses/episode-16.md,sources/ulysses-16.txt,780,781,"I’m tired of all them rocks in the sea, he said, and boats and ships. Salt junk all the time.",exact after whitespace normalization
ulysses-16-Q02,research/ulysses/episode-16.md,sources/ulysses-16.txt,819,819,I hate roaming about.,exact after whitespace normalization
ulysses-16-Q03,research/ulysses/episode-16.md,sources/ulysses-16.txt,2154,2154,Our lives are in peril tonight. Beware of the steamroller.,exact after whitespace normalization
ulysses-17-Q01,research/ulysses/episode-17.md,sources/ulysses-17.txt,29,30,"Both were sensitive to artistic impressions, musical in preference to plastic or pictorial.",exact after whitespace normalization
ulysses-17-Q02,research/ulysses/episode-17.md,sources/ulysses-17.txt,1416,1416,The heaventree of stars hung with humid nightblue fruit.,exact after whitespace normalization
ulysses-17-Q03,research/ulysses/episode-17.md,sources/ulysses-17.txt,3095,3095,He rests. He has travelled.,exact after whitespace normalization
ulysses-18-Q01,research/ulysses/episode-18.md,sources/ulysses-18.txt,1706,1706,the sea the sea crimson sometimes like fire,exact after whitespace normalization
ulysses-18-Q02,research/ulysses/episode-18.md,sources/ulysses-18.txt,1713,1714,and then I asked him with my eyes to ask again yes,exact after whitespace normalization
ulysses-18-Q03,research/ulysses/episode-18.md,sources/ulysses-18.txt,1716,1717,and yes I said yes I will Yes.,exact after whitespace normalization
